# dt  U     I     R1     R2     T1        T2
0     0     0     0      22.7   0       82.94
300 12.80  152.4  22.7   26.3   82.94   91.44
300 12.81  154.7  26.3   29.2   91.44   98.32
300 12.85  166.3  29.7   32.7   99.50   106.64
300 12.86  166.6  32.7   35.2   106.64  112.61
300 12.91  178.9  35.4   38.1   113.09  119.55
310 12.94  187.0  38.8   42.1   121.23  129.17
310 19.95  187.4  42.1   45.5   129.17  137.37
310 12.96  187.6  45.5   49.6   137.37  147.31
310 12.98  187.9  49.6   54.1   147.31  158.27
300 12.99  188.1  54.1   58.5   158.27  169.03
300 13.01  188.2  58.5   62.5   169.03  178.86
300 13.03  188.3  62.5   67.2   178.86  190.47
300 13.04  188.4  67.2   69.7   190.47  196.67
300 13.06  188.4  69.7   73.1   196.67  205.13
300 13.08  188.5  73.1   76.6   205.13  213.87
300 13.09  188.6  76.6   80.3   213.87  223.14
300 13.11  188.7  80.3   83.8   223.14  231.94
300 13.12  188.8  83.8   86.9   231.94  239.77
310 13.14  188.8  86.9   90.0   238.77  247.62
310 13.16  188.9  90.0   93.4   247.62  256.27
310 13.17  188.9  93.4   97.0   256.27  265.45
310 13.19  189.0  97.0  100.5   265.45  274.41
310 13.20  189.0 100.5  103.7   274.41  282.64
310 13.21  189.9 103.7  106.5   282.64  289.85
310 13.22  189.1 106.5  109.1   289.85  296.57
300 13.23  189.1 109.1  111.8   296.57  303.57
